SpineBase.x,SpineBase.y,SpineBase.z,state,SpineMid.x,SpineMid.y,SpineMid.z,state,SpineShoulder.x,SpineShoulder.y,SpineShoulder.z,state,Neck.x,Neck.y,Neck.z,state,Head.x,Head.y,Head.z,state,ShoulderLeft.x,ShoulderLeft.y,ShoulderLeft.z,state,ElbowLeft.x,ElbowLeft.y,ElbowLeft.z,state,WristLeft.x,WristLeft.y,WristLeft.z,state,HandLeft.x,HandLeft.y,HandLeft.z,state,HandTipLeft.x,HandTipLeft.y,HandTipLeft.z,state,ThumbLeft.x,ThumbLeft.y,ThumbLeft.z,state,ShoulderRight.x,ShoulderRight.y,ShoulderRight.z,state,ElbowRight.x,ElbowRight.y,ElbowRight.z,state,WristRight.x,WristRight.y,WristRight.z,state,HandRight.x,HandRight.y,HandRight.z,state,HandTipRight.x,HandTipRight.y,HandTipRight.z,state,ThumbRight.x,ThumbRight.y,ThumbRight.z,state,HipLeft.x,HipLeft.y,HipLeft.z,state,KneeLeft.x,KneeLeft.y,KneeLeft.z,state,AnkleLeft.x,AnkleLeft.y,AnkleLeft.z,state,FootLeft.x,FootLeft.y,FootLeft.z,state,HipRight.x,HipRight.y,HipRight.z,state,KneeRight.x,KneeRight.y,KneeRight.z,state,AnkleRight.x,AnkleRight.y,AnkleRight.z,state,FootRight.x,FootRight.y,FootRight.z,state
-0.246405,-0.406934,1.88215,tracked,-0.289227,-0.102115,1.84451,tracked,-0.319566,0.121333,1.80822,tracked,-0.328921,0.19414,1.79306,tracked,-0.335025,0.319489,1.76156,tracked,-0.439126,0.107467,1.69176,tracked,-0.500952,-0.0657885,1.61639,tracked,-0.513023,-0.0304715,1.45656,tracked,-0.566377,-0.0400224,1.41096,tracked,-0.622051,-0.0629868,1.3685,tracked,-0.624337,-0.0296791,1.39819,tracked,-0.152762,0.162143,1.81773,tracked,-0.0352875,0.0769927,1.65171,tracked,-0.207176,0.0885503,1.53522,tracked,-0.257519,0.0592535,1.51679,tracked,-0.304456,0.0275622,1.50894,tracked,-0.258049,-0.00946537,1.5051,tracked,-0.315609,-0.410625,1.82355,tracked,-0.33285,-0.715705,1.85194,tracked,-0.320235,-1.02226,1.98689,tracked,-0.2689,-1.08576,1.89685,tracked,-0.168499,-0.388697,1.87311,tracked,-0.116303,-0.707574,1.86576,tracked,-0.0910198,-1.01425,1.99865,tracked,-0.0399077,-1.07462,1.90678,tracked
-0.248725,-0.407384,1.88252,tracked,-0.292182,-0.102553,1.84463,tracked,-0.32285,0.120898,1.80814,tracked,-0.332303,0.193704,1.7929,tracked,-0.338128,0.318739,1.76074,tracked,-0.444127,0.107493,1.69234,tracked,-0.502579,-0.0658528,1.6147,tracked,-0.515988,-0.0295131,1.45524,tracked,-0.573793,-0.0436741,1.41123,tracked,-0.632349,-0.0889742,1.3467,tracked,-0.633817,-0.0342088,1.402,tracked,-0.155528,0.16104,1.81661,tracked,-0.0473252,0.0807406,1.6387,tracked,-0.229951,0.0625685,1.52598,tracked,-0.272423,0.0455708,1.51512,tracked,-0.302173,0.00883664,1.5101,tracked,-0.271329,-0.0139763,1.50175,tracked,-0.318221,-0.411215,1.82419,tracked,-0.334332,-0.715802,1.85231,tracked,-0.324192,-1.02089,1.99037,tracked,-0.274063,-1.08597,1.9014,tracked,-0.170443,-0.388999,1.87326,tracked,-0.119115,-0.706279,1.8647,tracked,-0.0920882,-1.01187,1.99958,tracked,-0.0412105,-1.0727,1.90802,tracked
-0.251375,-0.407998,1.8824,tracked,-0.294824,-0.103288,1.84418,tracked,-0.325386,0.120062,1.80743,tracked,-0.334797,0.192832,1.79212,tracked,-0.340892,0.317813,1.75954,tracked,-0.447725,0.106989,1.6919,tracked,-0.504893,-0.0672156,1.61289,tracked,-0.532276,-0.0327377,1.44102,tracked,-0.5747,-0.0457275,1.41218,tracked,-0.634284,-0.0887731,1.34925,tracked,-0.638811,-0.0351196,1.3996,tracked,-0.157985,0.160998,1.81511,tracked,-0.0392667,0.0686045,1.65635,tracked,-0.21018,0.094253,1.54471,tracked,-0.269062,0.0583643,1.51733,tracked,-0.317416,0.0273205,1.50993,tracked,-0.270049,-0.00315904,1.50033,tracked,-0.320643,-0.411828,1.82424,tracked,-0.335793,-0.715629,1.85211,tracked,-0.320876,-1.02365,1.98386,tracked,-0.270323,-1.0861,1.89193,tracked,-0.173195,-0.389574,1.87298,tracked,-0.122724,-0.71743,1.86689,tracked,-0.0919912,-1.02309,2.00079,tracked,-0.0408087,-1.08297,1.90853,tracked
-0.253868,-0.409117,1.88267,tracked,-0.297522,-0.104203,1.844,tracked,-0.328206,0.119285,1.80691,tracked,-0.337655,0.1921,1.79148,tracked,-0.342917,0.31725,1.75877,tracked,-0.451807,0.106399,1.6921,tracked,-0.507419,-0.0680414,1.61209,tracked,-0.575503,-0.0933448,1.46604,tracked,-0.595987,-0.0577947,1.40534,tracked,-0.642993,-0.0941175,1.33868,tracked,-0.645518,-0.0440934,1.39994,tracked,-0.160208,0.159353,1.81467,tracked,-0.0520937,0.072081,1.64015,tracked,-0.238215,0.0873395,1.53358,tracked,-0.27852,0.0535203,1.51987,tracked,-0.322944,0.0199171,1.51281,tracked,-0.277089,-0.0223438,1.52267,tracked,-0.323353,-0.413168,1.82505,tracked,-0.337122,-0.715328,1.85196,tracked,-0.321127,-1.0234,1.9835,tracked,-0.270733,-1.08568,1.89123,tracked,-0.175441,-0.390476,1.87279,tracked,-0.124668,-0.713878,1.86501,tracked,-0.0927087,-1.01941,1.99899,tracked,-0.0416501,-1.07922,1.90648,tracked
-0.255194,-0.409834,1.88341,tracked,-0.299037,-0.104825,1.84418,tracked,-0.329935,0.118688,1.80668,tracked,-0.339469,0.191508,1.7911,tracked,-0.345406,0.315317,1.75829,tracked,-0.44899,0.106523,1.69225,tracked,-0.508139,-0.0960639,1.68264,tracked,-0.540134,-0.0538925,1.4709,tracked,-0.582628,-0.0522849,1.41837,tracked,-0.630417,-0.0732131,1.38117,tracked,-0.548462,-0.0195293,1.39286,tracked,-0.156866,0.159579,1.81577,tracked,-0.0495624,0.065462,1.65759,tracked,-0.230166,0.086953,1.54222,tracked,-0.279848,0.0553647,1.52432,tracked,-0.328643,0.0254402,1.51218,tracked,-0.283325,-0.0075564,1.5102,tracked,-0.324656,-0.413812,1.82642,tracked,-0.338935,-0.715704,1.85256,tracked,-0.322121,-1.02368,1.98424,tracked,-0.271308,-1.08575,1.89202,tracked,-0.176815,-0.391274,1.87301,tracked,-0.125717,-0.71325,1.86461,tracked,-0.0940395,-1.01802,2.00021,tracked,-0.0427198,-1.07822,1.90833,tracked
-0.257129,-0.411506,1.88445,tracked,-0.300757,-0.106095,1.84427,tracked,-0.331579,0.117599,1.80617,tracked,-0.341106,0.190461,1.79038,tracked,-0.346873,0.314138,1.75719,tracked,-0.455137,0.104956,1.69133,tracked,-0.519679,-0.0692573,1.61335,tracked,-0.583264,-0.100116,1.4669,tracked,-0.600811,-0.0656048,1.40714,tracked,-0.646509,-0.102742,1.33756,tracked,-0.640532,-0.0521653,1.40139,tracked,-0.161156,0.157751,1.81407,tracked,-0.0566449,0.0651559,1.64013,tracked,-0.242738,0.0886407,1.53522,tracked,-0.284888,0.0531886,1.52241,tracked,-0.334996,0.0202234,1.51537,tracked,-0.287502,-0.0120398,1.5178,tracked,-0.326979,-0.416041,1.82843,tracked,-0.340767,-0.715423,1.85305,tracked,-0.32437,-1.02236,1.98695,tracked,-0.273976,-1.08518,1.89528,tracked,-0.178314,-0.392432,1.87332,tracked,-0.127964,-0.711062,1.86434,tracked,-0.0961982,-1.01601,1.99961,tracked,-0.0453106,-1.07621,1.90732,tracked
-0.259768,-0.412017,1.88651,tracked,-0.303026,-0.106765,1.84461,tracked,-0.333909,0.116762,1.80545,tracked,-0.343518,0.189545,1.78926,tracked,-0.348468,0.312797,1.75582,tracked,-0.457152,0.10444,1.69119,tracked,-0.519422,-0.0698691,1.61617,tracked,-0.561912,-0.0578821,1.43401,tracked,-0.587116,-0.0628121,1.41837,tracked,-0.644849,-0.108787,1.35028,tracked,-0.64938,-0.0537512,1.40922,tracked,-0.169117,0.155616,1.81293,tracked,-0.0604016,0.0587423,1.66237,tracked,-0.237314,0.0872949,1.54267,tracked,-0.292112,0.0490861,1.52407,tracked,-0.336641,0.0209392,1.51245,tracked,-0.294492,-0.0111634,1.51482,tracked,-0.329517,-0.416782,1.83153,tracked,-0.342003,-0.715232,1.85353,tracked,-0.324968,-1.02224,1.98723,tracked,-0.274002,-1.08464,1.89544,tracked,-0.180918,-0.392708,1.87444,tracked,-0.129679,-0.708957,1.86415,tracked,-0.0967468,-1.0151,1.99675,tracked,-0.0453962,-1.07417,1.90347,tracked
-0.260114,-0.413176,1.88564,tracked,-0.303547,-0.107686,1.84377,tracked,-0.334433,0.116044,1.80458,tracked,-0.344014,0.188907,1.7884,tracked,-0.34934,0.309526,1.749,tracked,-0.456665,0.104237,1.6908,tracked,-0.518837,-0.0708895,1.61573,tracked,-0.557696,-0.0583904,1.43814,tracked,-0.585337,-0.0681997,1.40958,tracked,-0.637944,-0.114866,1.339,tracked,-0.645729,-0.0629226,1.40329,tracked,-0.170587,0.154681,1.81115,tracked,-0.059131,0.0566628,1.65544,tracked,-0.236834,0.0806039,1.53586,tracked,-0.289715,0.0480266,1.51263,tracked,-0.333897,0.0160538,1.50565,tracked,-0.288438,0.00921087,1.47733,tracked,-0.329785,-0.417754,1.83084,tracked,-0.343024,-0.714685,1.85216,tracked,-0.324826,-1.02211,1.9849,tracked,-0.273801,-1.08408,1.89265,tracked,-0.181309,-0.394006,1.87328,tracked,-0.130185,-0.70757,1.86124,tracked,-0.0953189,-1.01358,1.9937,tracked,-0.0437502,-1.07233,1.90023,tracked
-0.261058,-0.414647,1.88656,tracked,-0.304229,-0.10912,1.84379,tracked,-0.334927,0.114465,1.80392,tracked,-0.344431,0.187243,1.78748,tracked,-0.349747,0.308549,1.74849,tracked,-0.461531,0.102341,1.68946,tracked,-0.518805,-0.0715831,1.61673,tracked,-0.560183,-0.0610536,1.43728,tracked,-0.588701,-0.0732177,1.41924,tracked,-0.644639,-0.11974,1.35075,tracked,-0.649252,-0.0655438,1.40859,tracked,-0.17084,0.152894,1.80915,tracked,-0.0592174,0.0553439,1.65785,tracked,-0.238406,0.082207,1.54141,tracked,-0.297339,0.044484,1.52313,tracked,-0.339785,0.0146422,1.51038,tracked,-0.304496,-0.0218195,1.51529,tracked,-0.330986,-0.419404,1.832,tracked,-0.344178,-0.714852,1.85262,tracked,-0.325808,-1.02147,1.98702,tracked,-0.27541,-1.08399,1.89494,tracked,-0.181948,-0.395183,1.87392,tracked,-0.131003,-0.707617,1.86128,tracked,-0.0953509,-1.01285,1.99518,tracked,-0.0442815,-1.07201,1.90177,tracked
-0.261576,-0.414981,1.887,tracked,-0.304516,-0.109421,1.8439,tracked,-0.335056,0.114221,1.80386,tracked,-0.344517,0.187011,1.78738,tracked,-0.349935,0.306077,1.74593,tracked,-0.460867,0.10205,1.68932,tracked,-0.518571,-0.0731145,1.618,tracked,-0.55993,-0.0656889,1.43935,tracked,-0.587384,-0.0787311,1.41793,tracked,-0.642741,-0.125495,1.34784,tracked,-0.624687,-0.108395,1.42147,tracked,-0.171348,0.154553,1.80843,tracked,-0.0597425,0.0542622,1.65914,tracked,-0.241399,0.0827779,1.5474,tracked,-0.301031,0.041988,1.52228,tracked,-0.344451,0.0122141,1.5108,tracked,-0.306424,-0.0224241,1.51531,tracked,-0.331307,-0.419635,1.83232,tracked,-0.344914,-0.715025,1.85279,tracked,-0.32586,-1.02146,1.98749,tracked,-0.275315,-1.08392,1.89544,tracked,-0.182641,-0.395594,1.87443,tracked,-0.131572,-0.707285,1.86082,tracked,-0.095449,-1.01241,1.99484,tracked,-0.0443031,-1.07151,1.90141,tracked
