SpineBase.x,SpineBase.y,SpineBase.z,state,SpineMid.x,SpineMid.y,SpineMid.z,state,SpineShoulder.x,SpineShoulder.y,SpineShoulder.z,state,Neck.x,Neck.y,Neck.z,state,Head.x,Head.y,Head.z,state,ShoulderLeft.x,ShoulderLeft.y,ShoulderLeft.z,state,ElbowLeft.x,ElbowLeft.y,ElbowLeft.z,state,WristLeft.x,WristLeft.y,WristLeft.z,state,HandLeft.x,HandLeft.y,HandLeft.z,state,HandTipLeft.x,HandTipLeft.y,HandTipLeft.z,state,ThumbLeft.x,ThumbLeft.y,ThumbLeft.z,state,ShoulderRight.x,ShoulderRight.y,ShoulderRight.z,state,ElbowRight.x,ElbowRight.y,ElbowRight.z,state,WristRight.x,WristRight.y,WristRight.z,state,HandRight.x,HandRight.y,HandRight.z,state,HandTipRight.x,HandTipRight.y,HandTipRight.z,state,ThumbRight.x,ThumbRight.y,ThumbRight.z,state,HipLeft.x,HipLeft.y,HipLeft.z,state,KneeLeft.x,KneeLeft.y,KneeLeft.z,state,AnkleLeft.x,AnkleLeft.y,AnkleLeft.z,state,FootLeft.x,FootLeft.y,FootLeft.z,state,HipRight.x,HipRight.y,HipRight.z,state,KneeRight.x,KneeRight.y,KneeRight.z,state,AnkleRight.x,AnkleRight.y,AnkleRight.z,state,FootRight.x,FootRight.y,FootRight.z,state
-0.174544,-0.407107,1.92264,tracked,-0.207864,-0.103563,1.87766,tracked,-0.23129,0.119003,1.83537,tracked,-0.238519,0.191587,1.81809,tracked,-0.232823,0.327982,1.78041,tracked,-0.356763,0.119212,1.75933,tracked,-0.416993,0.000444161,1.5914,tracked,-0.473495,-0.071216,1.45735,tracked,-0.500552,-0.064607,1.4635,tracked,-0.554097,-0.10768,1.40564,tracked,-0.547977,-0.0465301,1.45661,tracked,-0.0569502,0.162875,1.84609,tracked,0.0236984,0.0487362,1.67312,tracked,-0.113943,0.107319,1.61101,tracked,-0.188542,0.109201,1.59295,inferred,-0.249679,0.0933888,1.56745,tracked,-0.208691,0.104701,1.54433,tracked,-0.248884,-0.409413,1.87289,tracked,-0.259492,-0.739665,1.91344,tracked,-0.238041,-1.03968,2.06005,tracked,-0.198484,-1.10729,1.96798,tracked,-0.0935334,-0.390609,1.90363,tracked,-0.0461977,-0.718727,1.89422,tracked,-0.0269502,-1.02798,2.02231,tracked,0.00852536,-1.09041,1.92341,tracked
-0.173584,-0.407564,1.92221,tracked,-0.207017,-0.103745,1.87748,tracked,-0.230471,0.118983,1.83539,tracked,-0.237693,0.191612,1.81819,tracked,-0.230779,0.328259,1.78087,tracked,-0.356562,0.119384,1.7595,tracked,-0.410504,0.0210463,1.6088,tracked,-0.463197,-0.0603236,1.47892,tracked,-0.500338,-0.0617912,1.46767,tracked,-0.556919,-0.103104,1.41227,tracked,-0.550011,-0.037,1.45242,tracked,-0.0563684,0.161571,1.84593,tracked,0.0262768,0.0492805,1.67269,tracked,-0.108268,0.107965,1.61164,tracked,-0.179874,0.105279,1.59582,inferred,-0.240018,0.0884191,1.56762,tracked,-0.204022,0.0925222,1.543,tracked,-0.248021,-0.409917,1.87255,tracked,-0.259026,-0.740044,1.91303,tracked,-0.235983,-1.04504,2.04974,tracked,-0.196699,-1.10958,1.95383,tracked,-0.0926782,-0.39093,1.90327,tracked,-0.0453621,-0.718128,1.89315,tracked,-0.024847,-1.02688,2.02215,tracked,0.0107658,-1.08946,1.92349,tracked
-0.172059,-0.40798,1.92133,tracked,-0.205906,-0.103837,1.8772,tracked,-0.229542,0.11906,1.83548,tracked,-0.236791,0.191736,1.81841,tracked,-0.228346,0.328217,1.7815,tracked,-0.354825,0.118954,1.75885,tracked,-0.41064,0.0218821,1.60746,tracked,-0.463906,-0.0612946,1.47906,tracked,-0.498408,-0.0599252,1.46621,tracked,-0.555055,-0.0961106,1.40709,tracked,-0.554043,-0.0357462,1.45806,tracked,-0.0559019,0.161178,1.8459,tracked,0.0381074,0.0529645,1.67609,tracked,-0.114289,0.110515,1.60745,tracked,-0.172828,0.0990021,1.58347,tracked,-0.235619,0.0749929,1.56707,tracked,-0.193994,0.0407032,1.54929,tracked,-0.246403,-0.410412,1.87158,tracked,-0.258481,-0.74008,1.91255,tracked,-0.236221,-1.04532,2.04887,tracked,-0.196809,-1.10982,1.953,tracked,-0.0914498,-0.391209,1.90264,tracked,-0.0451032,-0.717903,1.89254,tracked,-0.0243865,-1.02571,2.02353,tracked,0.0116784,-1.08881,1.92565,tracked
-0.170981,-0.407603,1.92007,tracked,-0.204897,-0.103555,1.87714,tracked,-0.228097,0.119422,1.83639,tracked,-0.235116,0.192137,1.81983,tracked,-0.225763,0.327839,1.78422,tracked,-0.35303,0.118904,1.75833,tracked,-0.410723,0.0228422,1.60741,tracked,-0.464601,-0.0589376,1.47833,tracked,-0.498841,-0.0550775,1.46377,tracked,-0.556185,-0.0908787,1.4095,tracked,-0.54843,-0.0279506,1.453,tracked,-0.0551537,0.161245,1.8461,tracked,0.047334,0.0553008,1.68003,tracked,-0.0842075,0.0990868,1.59958,tracked,-0.15658,0.0923046,1.5778,tracked,-0.213245,0.0754077,1.56192,tracked,-0.17904,0.0410334,1.53672,tracked,-0.245055,-0.409947,1.87004,tracked,-0.258196,-0.740173,1.91189,tracked,-0.235654,-1.0451,2.0488,tracked,-0.195814,-1.10976,1.95334,tracked,-0.0907213,-0.39092,1.90177,tracked,-0.0442862,-0.716194,1.89087,tracked,-0.0233943,-1.02321,2.02351,tracked,0.0131181,-1.08678,1.92639,tracked
-0.16993,-0.407202,1.91909,tracked,-0.203956,-0.103275,1.87711,tracked,-0.227019,0.119692,1.8371,tracked,-0.233977,0.192401,1.82085,tracked,-0.222989,0.328468,1.78674,tracked,-0.350638,0.119146,1.75796,tracked,-0.411857,0.0214577,1.60557,tracked,-0.466122,-0.0553578,1.47347,tracked,-0.499251,-0.0441717,1.4618,tracked,-0.555316,-0.0804711,1.40821,tracked,-0.541806,-0.0187092,1.45356,tracked,-0.0541155,0.160948,1.84655,tracked,0.0599714,0.0566386,1.6876,tracked,-0.121909,0.0885896,1.57715,tracked,-0.166362,0.0612414,1.56486,tracked,-0.21352,0.0365765,1.55945,tracked,-0.165102,-0.00189538,1.55056,tracked,-0.24329,-0.409465,1.8683,tracked,-0.257758,-0.740488,1.91144,tracked,-0.235279,-1.04477,2.04965,tracked,-0.195002,-1.1098,1.95491,tracked,-0.090261,-0.390625,1.90138,tracked,-0.0438846,-0.715553,1.88976,tracked,-0.0228776,-1.02209,2.02339,tracked,0.0140935,-1.08592,1.92682,tracked
-0.169009,-0.406224,1.91681,tracked,-0.200091,-0.100218,1.87651,tracked,-0.21908,0.125812,1.83905,tracked,-0.22442,0.199763,1.82396,tracked,-0.218937,0.330535,1.78953,tracked,-0.348774,0.1194,1.75752,tracked,-0.409394,-5.26E-05,1.61997,tracked,-0.463985,-0.0399933,1.47178,tracked,-0.495773,-0.0326645,1.46342,tracked,-0.552156,-0.071625,1.40805,tracked,-0.552121,-0.0136209,1.46245,tracked,-0.0519797,0.160601,1.8475,tracked,0.0749797,0.056474,1.69929,tracked,-0.0960251,0.0899986,1.58043,tracked,-0.147328,0.0550964,1.55779,tracked,-0.19414,0.034426,1.55232,tracked,-0.146083,0.000682089,1.53546,tracked,-0.242113,-0.408352,1.86551,tracked,-0.257544,-0.740668,1.91133,tracked,-0.235016,-1.04478,2.04987,tracked,-0.194286,-1.10993,1.95553,tracked,-0.0896868,-0.389814,1.89976,tracked,-0.0434411,-0.714627,1.88859,tracked,-0.0232564,-1.02145,2.02175,tracked,0.013938,-1.08528,1.9253,tracked
-0.167611,-0.404778,1.91422,tracked,-0.196849,-0.0978868,1.87592,tracked,-0.21493,0.12846,1.83998,tracked,-0.220184,0.202366,1.82529,tracked,-0.215247,0.332641,1.7935,tracked,-0.346192,0.119982,1.75743,tracked,-0.408176,-0.0149318,1.63043,tracked,-0.457813,-0.0286424,1.4755,tracked,-0.493111,-0.0235781,1.46242,tracked,-0.550824,-0.0607433,1.40479,tracked,-0.536904,-0.00141692,1.45552,tracked,-0.0504403,0.160204,1.84845,tracked,0.088083,0.0621715,1.70715,tracked,-0.0860202,0.0866171,1.58196,tracked,-0.13206,0.045675,1.55042,tracked,-0.174087,0.0242819,1.54379,tracked,-0.129317,-0.00317965,1.52294,tracked,-0.240716,-0.40692,1.86274,tracked,-0.256756,-0.737051,1.90893,tracked,-0.23452,-1.0409,2.04807,tracked,-0.193395,-1.10635,1.95426,inferred,-0.0884294,-0.3884,1.89751,tracked,-0.0425864,-0.71368,1.88652,tracked,-0.0229172,-1.02002,2.02076,tracked,0.0146408,-1.08427,1.925,tracked
-0.165861,-0.404056,1.91229,tracked,-0.194099,-0.0961781,1.87593,tracked,-0.211723,0.130769,1.84152,tracked,-0.216921,0.204829,1.82731,tracked,-0.210219,0.335858,1.79667,tracked,-0.343885,0.114274,1.75979,tracked,-0.40822,-0.0174124,1.63243,tracked,-0.456827,-0.0267443,1.4768,tracked,-0.489727,-0.0196221,1.45673,tracked,-0.547231,-0.0523953,1.39609,tracked,-0.539321,0.00390371,1.45053,tracked,-0.0360827,0.158386,1.85331,tracked,0.10339,0.0631549,1.71109,tracked,-0.0522732,0.0430494,1.57773,tracked,-0.11278,0.0349838,1.54523,tracked,-0.153006,0.0155242,1.53848,tracked,-0.10818,-0.0257023,1.526,tracked,-0.23894,-0.406111,1.86009,tracked,-0.255699,-0.737242,1.90881,tracked,-0.234128,-1.04099,2.04822,tracked,-0.19348,-1.10687,1.9547,tracked,-0.0868203,-0.387744,1.89624,tracked,-0.041863,-0.712454,1.8853,tracked,-0.0225558,-1.01792,2.0214,tracked,0.014671,-1.08302,1.92645,tracked
-0.164616,-0.403397,1.91095,tracked,-0.191942,-0.0951735,1.8763,tracked,-0.208938,0.13187,1.84341,tracked,-0.213971,0.205915,1.82973,tracked,-0.206266,0.337768,1.80014,tracked,-0.342188,0.112153,1.7608,tracked,-0.407965,-0.0183513,1.63634,tracked,-0.455073,-0.0209552,1.47994,tracked,-0.489462,-0.0176097,1.45509,tracked,-0.546397,-0.0468124,1.3952,tracked,-0.535026,0.0078984,1.44421,tracked,-0.0305632,0.158816,1.85608,tracked,0.0974592,0.0711435,1.69796,tracked,-0.0635257,-0.00229809,1.57417,tracked,-0.0979835,0.0233894,1.54584,tracked,-0.136642,0.00576197,1.53634,tracked,-0.0876017,-0.0362941,1.53238,tracked,-0.237379,-0.405399,1.85791,tracked,-0.254967,-0.735964,1.90835,tracked,-0.233777,-1.03995,2.04735,tracked,-0.193044,-1.10589,1.95394,tracked,-0.0859092,-0.387154,1.89557,tracked,-0.0415764,-0.712053,1.88465,tracked,-0.0215942,-1.01771,2.02027,tracked,0.0159596,-1.08269,1.92538,tracked
-0.162386,-0.403606,1.90912,tracked,-0.188835,-0.0945115,1.87602,tracked,-0.205583,0.132921,1.84407,tracked,-0.210581,0.207075,1.83062,tracked,-0.202426,0.338605,1.80222,tracked,-0.333207,0.0988962,1.75868,tracked,-0.410879,0.03986,1.58069,tracked,-0.467701,-0.0376104,1.45013,tracked,-0.487059,-0.0148449,1.45217,tracked,-0.543389,-0.044782,1.39673,tracked,-0.535268,0.0132037,1.45022,tracked,-0.0243923,0.160714,1.85833,tracked,0.102475,0.0714711,1.70017,tracked,-0.0521055,0.0427311,1.55093,tracked,-0.0782822,0.0139076,1.54031,tracked,-0.115114,-0.00766496,1.5322,tracked,-0.0673801,-0.0424017,1.51979,tracked,-0.234781,-0.40585,1.85562,tracked,-0.254364,-0.734983,1.90768,tracked,-0.233558,-1.03878,2.0471,tracked,-0.191291,-1.10464,1.95449,tracked,-0.0841678,-0.387124,1.89429,tracked,-0.0415821,-0.711674,1.88376,tracked,-0.0219226,-1.01703,2.02002,tracked,0.0171965,-1.08197,1.92598,tracked
-0.161631,-0.403082,1.90931,tracked,-0.186851,-0.0934075,1.8783,tracked,-0.203052,0.134112,1.84854,tracked,-0.207946,0.208235,1.83582,tracked,-0.199668,0.339525,1.80807,tracked,-0.333236,0.100777,1.76075,tracked,-0.408464,0.0393133,1.58606,tracked,-0.466298,-0.0291685,1.45073,tracked,-0.490378,-0.00930583,1.45554,tracked,-0.543881,-0.0433773,1.39886,tracked,-0.533905,0.0133428,1.45104,tracked,-0.0277121,0.161178,1.8599,tracked,0.123943,0.0649182,1.73301,tracked,-0.0219862,0.0191079,1.57915,tracked,-0.0604276,0.00308294,1.54464,tracked,-0.0965494,-0.0161958,1.52962,tracked,-0.0404439,-0.00548552,1.50676,tracked,-0.233954,-0.405433,1.85558,tracked,-0.253502,-0.736027,1.9079,tracked,-0.233281,-1.03963,2.04777,tracked,-0.190999,-1.10591,1.95574,tracked,-0.0834525,-0.386429,1.89479,tracked,-0.0414408,-0.71126,1.88388,tracked,-0.022048,-1.01656,2.02032,tracked,0.0171615,-1.08179,1.92669,tracked
-0.1611,-0.403012,1.90905,tracked,-0.185963,-0.0930901,1.87852,tracked,-0.202139,0.134526,1.84897,tracked,-0.207045,0.208675,1.83627,tracked,-0.197662,0.340016,1.80964,tracked,-0.333251,0.101391,1.76179,tracked,-0.406797,0.0383895,1.58636,tracked,-0.4458,-0.0236957,1.44074,tracked,-0.482817,-0.00591053,1.45428,tracked,-0.535733,-0.0409743,1.39646,tracked,-0.527334,0.0193046,1.4462,tracked,-0.0288832,0.160819,1.86035,tracked,0.153474,0.0601214,1.80608,tracked,0.0534458,0.0435427,1.61817,tracked,-0.0390858,-0.00684295,1.53991,tracked,-0.0723276,-0.0257226,1.52334,tracked,-0.103053,-0.00732129,1.575,tracked,-0.2335,-0.405331,1.85542,tracked,-0.252331,-0.737538,1.90894,tracked,-0.233887,-1.04136,2.04856,tracked,-0.192125,-1.10787,1.95655,tracked,-0.0828902,-0.386395,1.89445,tracked,-0.0414318,-0.711099,1.88403,tracked,-0.0212669,-1.0162,2.02075,tracked,0.0180654,-1.08146,1.92723,inferred
-0.160483,-0.402955,1.90927,tracked,-0.184834,-0.0928946,1.87977,tracked,-0.200979,0.134705,1.85086,tracked,-0.205908,0.208842,1.83832,tracked,-0.195754,0.340614,1.81246,tracked,-0.332944,0.102033,1.76285,tracked,-0.404421,0.0370121,1.58994,tracked,-0.445679,-0.0206803,1.44311,tracked,-0.480511,-0.00822658,1.45377,tracked,-0.53337,-0.0406967,1.39263,tracked,-0.523387,0.0180601,1.44306,tracked,-0.0189878,0.155812,1.86907,tracked,0.115182,0.0756324,1.7123,tracked,-0.00592647,-0.0225602,1.56154,tracked,-0.0216114,-0.0209625,1.5411,tracked,-0.0494654,-0.0432954,1.52398,tracked,-0.00498497,-0.0806434,1.53167,tracked,-0.232674,-0.405142,1.85604,tracked,-0.25144,-0.738815,1.91036,tracked,-0.233475,-1.04162,2.05199,tracked,-0.190416,-1.10858,1.96136,tracked,-0.0824207,-0.386422,1.89444,tracked,-0.0413619,-0.710992,1.88415,tracked,-0.0238486,-1.01669,2.01999,tracked,0.0161686,-1.08183,1.92674,tracked
-0.159913,-0.40308,1.90974,tracked,-0.183366,-0.0926947,1.8818,tracked,-0.199033,0.135197,1.85405,tracked,-0.203814,0.209444,1.84186,tracked,-0.193743,0.340795,1.81417,tracked,-0.332493,0.102752,1.76406,tracked,-0.401685,0.0251604,1.59216,tracked,-0.450718,-0.0190794,1.44307,tracked,-0.474116,-0.013556,1.44934,tracked,-0.526797,-0.0407379,1.38692,tracked,-0.52592,0.0112335,1.45365,tracked,-0.0124953,0.150096,1.87482,tracked,0.157453,0.0579457,1.79808,tracked,0.0833029,0.0278037,1.62694,tracked,0.000599918,-0.0307765,1.53644,tracked,-0.0255795,-0.0526364,1.51746,tracked,-0.0687382,-0.0304578,1.58033,tracked,-0.231961,-0.405051,1.85664,tracked,-0.250979,-0.738866,1.91052,tracked,-0.233107,-1.04133,2.05283,tracked,-0.189318,-1.10847,1.96292,tracked,-0.0819827,-0.386736,1.89483,tracked,-0.041026,-0.712377,1.88575,tracked,-0.0199231,-1.01695,2.02341,tracked,0.0217396,-1.08199,1.93111,tracked
-0.159285,-0.403291,1.90994,tracked,-0.181828,-0.0927821,1.88291,tracked,-0.196901,0.135194,1.85577,tracked,-0.201482,0.209474,1.84377,tracked,-0.192383,0.340798,1.81457,tracked,-0.316959,0.10566,1.7607,tracked,-0.39847,0.0304259,1.59019,tracked,-0.449732,-0.0221736,1.44481,tracked,-0.47241,-0.0173657,1.44488,tracked,-0.524264,-0.0441355,1.38229,tracked,-0.514456,0.0106665,1.44318,tracked,-0.00518838,0.145364,1.87868,tracked,0.120174,0.0656868,1.73451,tracked,0.0635865,0.00328651,1.59425,tracked,0.0178549,-0.0420284,1.53746,tracked,-0.00196354,-0.0739286,1.51751,tracked,-0.0489624,-0.043031,1.5856,tracked,-0.231058,-0.404872,1.85677,tracked,-0.250662,-0.738102,1.91046,tracked,-0.232912,-1.04133,2.0513,tracked,-0.186284,-1.10725,1.96173,tracked,-0.0814872,-0.387394,1.89516,tracked,-0.0410442,-0.712463,1.8858,tracked,-0.0194139,-1.01814,2.02116,tracked,0.0251633,-1.08158,1.92888,tracked
-0.158209,-0.403667,1.90944,tracked,-0.179911,-0.0928664,1.88251,tracked,-0.194313,0.135301,1.8552,tracked,-0.198643,0.209653,1.84309,tracked,-0.190328,0.340704,1.8146,tracked,-0.318294,0.105801,1.76118,tracked,-0.394626,0.0321292,1.58791,tracked,-0.448051,-0.0221018,1.44401,tracked,-0.467429,-0.0154941,1.44244,tracked,-0.519905,-0.0467267,1.38203,tracked,-0.512576,0.00789244,1.44176,tracked,-0.00711793,0.145494,1.87642,tracked,0.122485,0.0581125,1.73529,inferred,0.0631126,-0.0463302,1.57031,tracked,0.037684,-0.0547323,1.5322,tracked,0.0325082,-0.0881307,1.5049,tracked,-0.0260951,-0.0571049,1.57833,tracked,-0.230028,-0.404997,1.85627,tracked,-0.249092,-0.735138,1.90846,tracked,-0.232429,-1.03822,2.04972,tracked,-0.18678,-1.10465,1.96009,tracked,-0.0804694,-0.388012,1.89466,tracked,-0.0405686,-0.712602,1.88552,tracked,-0.020255,-1.01921,2.01912,tracked,0.0232149,-1.08253,1.92595,tracked
-0.157342,-0.403788,1.91074,tracked,-0.178593,-0.0928315,1.88436,tracked,-0.192915,0.135359,1.85706,tracked,-0.19724,0.209713,1.84492,tracked,-0.189351,0.340544,1.81607,tracked,-0.319754,0.108237,1.76175,tracked,-0.39235,0.0328908,1.58828,tracked,-0.444724,-0.0224488,1.44439,tracked,-0.467644,-0.0171763,1.44781,tracked,-0.515864,-0.0483158,1.3811,tracked,-0.504311,0.00348478,1.43417,tracked,0.00212251,0.138566,1.88319,tracked,0.148392,0.0520813,1.74281,tracked,0.0786738,-0.0272689,1.58951,tracked,0.0551379,-0.0679974,1.54804,tracked,0.0382326,-0.0969995,1.52378,tracked,-0.0161323,-0.0635995,1.59567,tracked,-0.229213,-0.404727,1.85699,tracked,-0.248375,-0.736157,1.90904,tracked,-0.232146,-1.03925,2.05031,tracked,-0.185943,-1.10557,1.96095,tracked,-0.0796227,-0.388719,1.89684,tracked,-0.0399659,-0.713148,1.88633,tracked,-0.0198399,-1.01953,2.02044,tracked,0.0242671,-1.08284,1.9277,tracked
-0.156738,-0.404138,1.91173,tracked,-0.178137,-0.0929786,1.88491,tracked,-0.192636,0.135286,1.85728,tracked,-0.197011,0.209657,1.84505,tracked,-0.188686,0.340414,1.81591,tracked,-0.320224,0.108999,1.76174,tracked,-0.388753,0.0205919,1.58945,tracked,-0.442142,-0.0202179,1.44094,tracked,-0.461183,-0.0211736,1.44326,tracked,-0.509377,-0.0518126,1.37574,tracked,-0.498768,0.00160202,1.43667,tracked,0.00506273,0.136823,1.88527,tracked,0.148198,0.0485218,1.74264,tracked,0.0953117,-0.0514794,1.59385,tracked,0.0729393,-0.0800153,1.54819,tracked,0.0593329,-0.110971,1.52487,tracked,0.00209737,-0.0748165,1.59392,tracked,-0.228738,-0.404726,1.85732,tracked,-0.247753,-0.737866,1.91079,tracked,-0.232135,-1.04016,2.05364,tracked,-0.1858,-1.10695,1.96502,tracked,-0.0790101,-0.389636,1.89886,tracked,-0.039676,-0.714455,1.88783,tracked,-0.0180227,-1.01901,2.02542,tracked,0.0268221,-1.08298,1.93399,tracked
-0.155994,-0.404358,1.91245,tracked,-0.177335,-0.0932111,1.88562,tracked,-0.1919,0.135017,1.85783,tracked,-0.196306,0.209379,1.84554,tracked,-0.188218,0.34031,1.81613,tracked,-0.320626,0.109603,1.7619,tracked,-0.38423,-0.0241545,1.6346,tracked,-0.425054,-0.0102085,1.47683,tracked,-0.455619,-0.0219928,1.44518,tracked,-0.505709,-0.0555858,1.3734,tracked,-0.494807,-0.041157,1.44913,tracked,0.00785546,0.135446,1.88694,tracked,0.144497,0.0386629,1.74333,tracked,0.0998168,-0.0542527,1.59575,tracked,0.0902353,-0.0897509,1.54474,tracked,0.0884888,-0.124513,1.51887,tracked,0.0189274,-0.0862605,1.59156,tracked,-0.22807,-0.404668,1.85743,tracked,-0.247597,-0.73712,1.91058,tracked,-0.232089,-1.04094,2.05047,tracked,-0.185814,-1.10681,1.96058,tracked,-0.078204,-0.390241,1.90049,tracked,-0.0392013,-0.714822,1.88807,tracked,-0.0184969,-1.01904,2.02646,tracked,0.0262503,-1.08337,1.93542,tracked
-0.155215,-0.404782,1.91423,tracked,-0.176886,-0.0935117,1.88635,tracked,-0.191669,0.134795,1.85803,tracked,-0.196121,0.209176,1.84563,tracked,-0.187954,0.340184,1.81639,tracked,-0.321215,0.110353,1.76193,tracked,-0.38394,-0.0239307,1.63477,tracked,-0.423028,-0.0114911,1.47602,tracked,-0.449016,-0.0214312,1.44758,tracked,-0.503307,-0.0583188,1.3748,tracked,-0.497817,-0.00798561,1.43412,tracked,0.00928953,0.134162,1.88927,tracked,0.152367,0.0177546,1.77079,tracked,0.117434,-0.0579853,1.60104,tracked,0.106484,-0.099076,1.54852,tracked,0.105,-0.132448,1.51739,tracked,0.0322388,-0.0944199,1.58136,tracked,-0.227357,-0.404787,1.85814,tracked,-0.247512,-0.736831,1.91054,tracked,-0.232093,-1.04063,2.05049,tracked,-0.185434,-1.10634,1.96064,tracked,-0.0776088,-0.390955,1.90344,tracked,-0.0385133,-0.71532,1.88878,tracked,-0.0177973,-1.01989,2.02646,tracked,0.0272974,-1.0838,1.93516,tracked
-0.15415,-0.405274,1.91726,tracked,-0.17646,-0.0941583,1.8883,tracked,-0.191623,0.134096,1.85917,tracked,-0.196174,0.208477,1.84654,tracked,-0.188133,0.339549,1.81692,tracked,-0.322017,0.111028,1.76196,tracked,-0.383766,-0.0240594,1.6351,tracked,-0.421261,-0.0124098,1.47625,tracked,-0.450428,-0.0209175,1.44866,tracked,-0.503011,-0.059553,1.37487,tracked,-0.498543,-0.00545964,1.43395,tracked,0.0101682,0.132529,1.89356,tracked,0.153168,0.0165612,1.77453,tracked,0.133343,-0.0593518,1.61299,tracked,0.121712,-0.108783,1.55549,tracked,0.11801,-0.142902,1.52552,tracked,0.0473627,-0.103158,1.57464,tracked,-0.226282,-0.404966,1.85944,tracked,-0.247229,-0.737382,1.91129,tracked,-0.232123,-1.04152,2.05058,tracked,-0.184634,-1.10671,1.96067,tracked,-0.0768802,-0.39171,1.90843,tracked,-0.0376877,-0.71651,1.89148,tracked,-0.0194455,-1.02321,2.02512,tracked,0.0258029,-1.08602,1.93258,tracked
-0.153672,-0.40546,1.91808,tracked,-0.176158,-0.0944679,1.88894,tracked,-0.191475,0.133702,1.85958,tracked,-0.196075,0.208059,1.84687,tracked,-0.18814,0.339438,1.81695,tracked,-0.32271,0.111597,1.76178,tracked,-0.383664,-0.0239593,1.63519,tracked,-0.420436,-0.012912,1.4761,tracked,-0.451535,-0.0230353,1.44838,tracked,-0.503637,-0.061488,1.3768,tracked,-0.501007,-0.0102744,1.43128,tracked,0.0103507,0.132172,1.89397,tracked,0.156447,0.0230627,1.77199,tracked,0.143283,-0.0605781,1.62292,tracked,0.131411,-0.113007,1.55437,tracked,0.129866,-0.145225,1.52368,tracked,0.0572357,-0.109495,1.58031,tracked,-0.225675,-0.405072,1.86,tracked,-0.24734,-0.736028,1.91075,tracked,-0.232986,-1.0417,2.04705,tracked,-0.185726,-1.10611,1.95597,tracked,-0.0765751,-0.391893,1.90926,tracked,-0.0372976,-0.717165,1.89178,tracked,-0.0192967,-1.02397,2.02521,tracked,0.0259441,-1.08672,1.93262,tracked
