SpineBase.x,SpineBase.y,SpineBase.z,state,SpineMid.x,SpineMid.y,SpineMid.z,state,SpineShoulder.x,SpineShoulder.y,SpineShoulder.z,state,Neck.x,Neck.y,Neck.z,state,Head.x,Head.y,Head.z,state,ShoulderLeft.x,ShoulderLeft.y,ShoulderLeft.z,state,ElbowLeft.x,ElbowLeft.y,ElbowLeft.z,state,WristLeft.x,WristLeft.y,WristLeft.z,state,HandLeft.x,HandLeft.y,HandLeft.z,state,HandTipLeft.x,HandTipLeft.y,HandTipLeft.z,state,ThumbLeft.x,ThumbLeft.y,ThumbLeft.z,state,ShoulderRight.x,ShoulderRight.y,ShoulderRight.z,state,ElbowRight.x,ElbowRight.y,ElbowRight.z,state,WristRight.x,WristRight.y,WristRight.z,state,HandRight.x,HandRight.y,HandRight.z,state,HandTipRight.x,HandTipRight.y,HandTipRight.z,state,ThumbRight.x,ThumbRight.y,ThumbRight.z,state,HipLeft.x,HipLeft.y,HipLeft.z,state,KneeLeft.x,KneeLeft.y,KneeLeft.z,state,AnkleLeft.x,AnkleLeft.y,AnkleLeft.z,state,FootLeft.x,FootLeft.y,FootLeft.z,state,HipRight.x,HipRight.y,HipRight.z,state,KneeRight.x,KneeRight.y,KneeRight.z,state,AnkleRight.x,AnkleRight.y,AnkleRight.z,state,FootRight.x,FootRight.y,FootRight.z,state
-0.161193,-0.426813,1.70626,tracked,-0.193491,-0.123168,1.67478,tracked,-0.216503,0.0991347,1.64191,tracked,-0.223607,0.171444,1.62772,tracked,-0.250486,0.301041,1.59016,tracked,-0.364014,0.0916985,1.51671,tracked,-0.444644,-0.0118798,1.39658,inferred,-0.502468,-0.0806809,1.26114,inferred,-0.55949,-0.0631536,1.28388,tracked,-0.603765,-0.0977893,1.2383,tracked,-0.547615,-0.102671,1.235,tracked,-0.0397266,0.128864,1.62812,tracked,0.0198971,-0.0220808,1.52654,tracked,-0.17419,0.0187518,1.45204,tracked,-0.242321,0.0389269,1.41351,tracked,-0.3064,0.037033,1.41406,tracked,-0.273673,-0.0239373,1.46229,tracked,-0.234782,-0.427737,1.66602,tracked,-0.258207,-0.717029,1.69266,tracked,-0.24014,-0.98281,1.81801,tracked,-0.269594,-1.05366,1.78512,inferred,-0.0813579,-0.409139,1.67933,tracked,-0.0217666,-0.690374,1.67465,tracked,0.0198441,-0.986813,1.82335,tracked,0.00158059,-1.06189,1.79865,inferred
-0.167136,-0.427384,1.70668,tracked,-0.20053,-0.123615,1.67466,tracked,-0.224002,0.0987568,1.64161,tracked,-0.23121,0.17108,1.62739,tracked,-0.26011,0.300051,1.58914,tracked,-0.369197,0.0923729,1.51543,tracked,-0.442132,-0.0701519,1.47294,tracked,-0.449531,-0.0270273,1.31454,tracked,-0.582996,-0.0610481,1.28253,tracked,-0.615548,-0.0903515,1.2292,tracked,-0.547129,-0.0758355,1.24447,tracked,-0.0387872,0.128409,1.62838,tracked,0.0132511,-0.0205771,1.52676,tracked,-0.172624,0.0286219,1.42976,tracked,-0.235432,0.0370695,1.41107,inferred,-0.289687,0.0304667,1.39541,tracked,-0.254834,0.0119813,1.37466,tracked,-0.240119,-0.428242,1.66685,tracked,-0.262425,-0.717066,1.69349,tracked,-0.240654,-0.98249,1.81798,tracked,-0.271641,-1.05257,1.79442,inferred,-0.0876358,-0.409724,1.67922,tracked,-0.0258431,-0.693248,1.67724,tracked,0.0144897,-0.976583,1.81884,tracked,0.0610244,-1.04012,1.7299,inferred
-0.172112,-0.426679,1.7055,tracked,-0.206845,-0.1237,1.67236,tracked,-0.231273,0.0979036,1.6385,tracked,-0.238791,0.169939,1.62402,tracked,-0.268304,0.298638,1.58659,tracked,-0.373981,0.0932672,1.51379,tracked,-0.442726,-0.0703391,1.47245,tracked,-0.449254,-0.0250705,1.31461,tracked,-0.594647,-0.0703979,1.2776,tracked,-0.631532,-0.0957062,1.23112,tracked,-0.555514,-0.0916639,1.24182,tracked,-0.0553129,0.132134,1.62471,tracked,0.00824911,-0.0192764,1.52351,tracked,-0.16309,0.0193322,1.43209,tracked,-0.227152,0.0270572,1.40747,inferred,-0.285895,0.016799,1.39258,tracked,-0.259449,-0.00277249,1.37183,tracked,-0.244167,-0.428077,1.66643,tracked,-0.2644,-0.716892,1.69292,tracked,-0.246575,-1.00284,1.82556,tracked,-0.290869,-1.05785,1.7604,inferred,-0.0934933,-0.408336,1.67706,tracked,-0.0291027,-0.696685,1.67731,tracked,0.0143988,-0.98085,1.82033,tracked,0.0621929,-1.04367,1.73152,inferred
-0.175851,-0.426747,1.70629,tracked,-0.213642,-0.124322,1.67362,tracked,-0.240728,0.0967348,1.64039,tracked,-0.249178,0.168575,1.62617,tracked,-0.278539,0.29762,1.58747,tracked,-0.384737,0.0810479,1.52286,tracked,-0.448227,-0.0713036,1.4739,tracked,-0.452173,-0.0254627,1.31612,tracked,-0.61022,-0.0795413,1.27831,tracked,-0.645257,-0.101698,1.23362,tracked,-0.571236,-0.106647,1.23753,tracked,-0.063042,0.133139,1.62634,tracked,0.00477627,-0.0184727,1.52476,tracked,-0.177059,0.0150302,1.42912,tracked,-0.238001,0.0142506,1.41147,inferred,-0.28498,0.00685891,1.39343,tracked,-0.259205,-0.0140672,1.37462,tracked,-0.247782,-0.428706,1.66661,tracked,-0.26747,-0.71734,1.69436,tracked,-0.247389,-1.00365,1.82657,tracked,-0.294517,-1.05022,1.75102,inferred,-0.0972644,-0.407843,1.67855,tracked,-0.0318539,-0.701888,1.68057,tracked,0.01373,-0.983897,1.82266,tracked,-0.0121968,-1.05669,1.80308,inferred
-0.180003,-0.426745,1.70564,tracked,-0.21908,-0.124884,1.67345,tracked,-0.246794,0.0957595,1.64074,tracked,-0.25538,0.167474,1.62672,tracked,-0.286311,0.296567,1.58787,tracked,-0.39114,0.074841,1.52625,tracked,-0.455806,-0.0720391,1.47309,tracked,-0.458511,-0.0240697,1.31593,tracked,-0.620184,-0.0774601,1.28019,tracked,-0.656293,-0.101498,1.23517,tracked,-0.580285,-0.105596,1.23964,tracked,-0.0705145,0.133153,1.62731,tracked,0.0035566,-0.0178286,1.52483,tracked,-0.178827,0.0116785,1.42924,tracked,-0.256471,-0.000150183,1.41421,tracked,-0.316981,-0.0189056,1.41727,tracked,-0.261462,-0.0248162,1.38025,tracked,-0.251872,-0.429437,1.66492,tracked,-0.269761,-0.717091,1.6942,tracked,-0.250421,-0.993897,1.82388,tracked,-0.27954,-1.06325,1.77797,inferred,-0.1015,-0.407145,1.67892,tracked,-0.0344207,-0.701695,1.67939,tracked,0.0136441,-0.985113,1.824,tracked,-0.0184822,-1.05629,1.78837,inferred
-0.184854,-0.425603,1.70499,tracked,-0.225767,-0.124623,1.67374,tracked,-0.254929,0.0952396,1.64199,tracked,-0.263997,0.166674,1.62833,tracked,-0.295968,0.296329,1.58872,tracked,-0.396771,0.0714371,1.52982,tracked,-0.463618,-0.0722246,1.47295,tracked,-0.582031,-0.0791387,1.34061,inferred,-0.632923,-0.0766699,1.28389,tracked,-0.666053,-0.0963608,1.23995,tracked,-0.588411,-0.097162,1.24208,tracked,-0.0789746,0.132836,1.63085,tracked,0.000662052,-0.0166686,1.52904,tracked,-0.188457,0.00430399,1.42938,tracked,-0.259766,-0.0106765,1.4179,tracked,-0.318534,-0.022712,1.42071,tracked,-0.288354,-0.0774297,1.438,tracked,-0.256331,-0.428832,1.66264,tracked,-0.273252,-0.719132,1.69571,tracked,-0.253624,-0.992932,1.82277,tracked,-0.273907,-1.06598,1.78188,inferred,-0.106866,-0.405384,1.67997,tracked,-0.0389443,-0.701491,1.68,tracked,0.00768583,-0.957624,1.80061,tracked,0.0544183,-1.01856,1.70816,inferred
-0.189357,-0.425067,1.70419,tracked,-0.231467,-0.124694,1.67402,tracked,-0.261401,0.0947266,1.6432,tracked,-0.270689,0.166024,1.62987,tracked,-0.304504,0.296863,1.59053,tracked,-0.396145,0.0726062,1.52949,tracked,-0.470824,-0.0726187,1.47472,tracked,-0.583776,-0.0786517,1.34174,inferred,-0.64032,-0.0741329,1.28618,tracked,-0.672501,-0.0928111,1.23922,tracked,-0.584874,-0.0689355,1.257,tracked,-0.0834767,0.132427,1.6328,tracked,-0.00185341,-0.0165585,1.53246,tracked,-0.19068,-0.00136258,1.42974,tracked,-0.260761,-0.0191644,1.42091,tracked,-0.319393,-0.031271,1.42308,tracked,-0.286977,-0.0819371,1.43409,tracked,-0.259824,-0.428438,1.66176,tracked,-0.276317,-0.718885,1.6959,tracked,-0.253337,-0.994794,1.82272,tracked,-0.281153,-1.06481,1.77797,inferred,-0.111816,-0.404787,1.67932,tracked,-0.0413956,-0.701943,1.67966,tracked,0.00725889,-0.957299,1.80106,tracked,0.0557806,-1.01776,1.70939,inferred
-0.193608,-0.425239,1.70379,tracked,-0.238171,-0.125363,1.67519,tracked,-0.270067,0.0936714,1.64593,tracked,-0.280007,0.16485,1.63318,tracked,-0.312779,0.297097,1.5938,tracked,-0.398534,0.0714645,1.53206,tracked,-0.477131,-0.0725737,1.47798,tracked,-0.58758,-0.0779214,1.34448,inferred,-0.648611,-0.0743609,1.29075,tracked,-0.681963,-0.0944921,1.24706,tracked,-0.615386,-0.10302,1.25171,tracked,-0.0879567,0.131487,1.63493,tracked,-0.00588636,-0.0171099,1.54744,tracked,-0.1905,-0.00751178,1.43611,tracked,-0.264251,-0.028486,1.42661,tracked,-0.320887,-0.0415527,1.42635,tracked,-0.288433,-0.0934683,1.443,tracked,-0.263822,-0.428743,1.66078,tracked,-0.279225,-0.719432,1.69701,tracked,-0.254139,-0.993462,1.82362,tracked,-0.279481,-1.06454,1.7798,inferred,-0.116017,-0.404849,1.67952,tracked,-0.0462336,-0.703214,1.6802,tracked,0.00734599,-0.957302,1.8013,tracked,0.057344,-1.01687,1.70971,inferred
-0.196763,-0.425065,1.70248,tracked,-0.24038,-0.125283,1.67479,tracked,-0.271526,0.093743,1.6459,tracked,-0.281233,0.164925,1.63323,tracked,-0.317894,0.297781,1.59511,tracked,-0.399688,0.0712604,1.53335,tracked,-0.481367,-0.0709941,1.47696,tracked,-0.586643,-0.0666066,1.33167,inferred,-0.652002,-0.0730349,1.28892,tracked,-0.686584,-0.0948909,1.246,tracked,-0.597252,-0.0898972,1.238,tracked,-0.089588,0.130927,1.63544,tracked,-0.00582589,-0.0171969,1.54766,tracked,-0.190688,-0.0117864,1.43647,tracked,-0.264512,-0.0369164,1.42667,tracked,-0.32047,-0.0518555,1.42979,tracked,-0.287964,-0.104859,1.44362,tracked,-0.26695,-0.428801,1.65936,tracked,-0.281797,-0.720541,1.69781,tracked,-0.254971,-0.993298,1.82361,tracked,-0.277074,-1.06586,1.78303,inferred,-0.11896,-0.404471,1.67833,tracked,-0.0484471,-0.7035,1.6794,tracked,0.00613865,-0.981955,1.81612,tracked,0.0552871,-1.0431,1.72617,inferred
-0.200328,-0.425415,1.70121,tracked,-0.245143,-0.125313,1.67463,tracked,-0.277122,0.0940596,1.64665,tracked,-0.287075,0.16538,1.63429,tracked,-0.323022,0.298662,1.59678,tracked,-0.418968,0.0656449,1.54614,tracked,-0.509157,-0.0110707,1.40206,tracked,-0.648388,-0.0237809,1.33123,tracked,-0.66249,-0.0730518,1.2907,tracked,-0.694207,-0.0973656,1.25017,tracked,-0.607606,-0.088179,1.24623,tracked,-0.0981117,0.12698,1.63854,tracked,-0.00565921,-0.0185105,1.55024,tracked,-0.19059,-0.0163589,1.43907,tracked,-0.266694,-0.0459117,1.42965,tracked,-0.325665,-0.0605482,1.43506,tracked,-0.28398,-0.110658,1.4459,tracked,-0.270821,-0.429603,1.658,tracked,-0.283393,-0.720371,1.69809,tracked,-0.255855,-1.00584,1.83278,tracked,-0.283349,-1.06777,1.76363,inferred,-0.122054,-0.40441,1.67716,tracked,-0.0513093,-0.701251,1.67748,tracked,0.00595447,-0.996011,1.8216,tracked,0.051283,-1.05861,1.73081,inferred
